Designator,Footprint,Quantity,Value,LCSC Part #
,zhengu_logo,1,,
1V8_PWR,0603,1,0603 1V8_PWR,
3V3_PWR,0603,1,0603 3V3_LED,
5V_PWR1,0603,1,0603 5V_LED,
"AKINA_JTAG1, ST_JTAG1",PinHeader_2x05_P2.54mm_Vertical,2,~,
"AKINA_RESET1, ST_RESET1",SW_SPST_CK_RS282G05A3,2,KEY,
BAT1,CR1220_Holder,1,CR1220-2,
BEEP1,BEEP_4317,1,BUZZER,
"BOOT_MODE1, BOOT_MODE2",SW_DIP_SPSTx02_Slide_6.7x6.64mm_W8.61mm_P2.54mm_LowProfile,2,SW_SMD_2P-2.54mm,
BTB100x1,BTB100PINx2_FemaleConnector,1,BTB100PINx2_IC_Adapter,
C1,CP_Elec_6.3x7.7,1,47uF,
"C10, C17",0603,2,0603 4.7uF/1%,
"C100, C38, C39, C40, C41, C42, C43, C44, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C80, C81, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0603,36,0.1uF,
C101,0603,1,10uF,
"C11, C12, C14, C18, C19, C20, C21, C23, C29, C31, C34, C35, C45, C48, C71, C72, C75, C78, C79",0603,19,0603 0.1uF/16V,
"C13, C22, C24, C30, C32, C59",0603,6,0603 4.7uF/16V,
C15,0603,1,0603 0.01uF/16V,
C16,0603,1,0603 30P/16V,
C2,CP_Elec_6.3x7.7,1,22uF,
"C25, C26, C27, C28",0603,4,0603 10uF/16V,
"C3, C4, C5, C6, C7, C8",0603,6,0603 1uF/16V,
C33,0603,1,0603 3.3uF/16V,
"C36, C37",0603,2,0603 27pF/16V,
"C46, C47",0603,2,0603 10pF/16V,
"C60, C61, C62, C63, C64, C65, C67, C68, C69, C70",0603,10,4.7uF,
"C73, C74, C76, C77",0603,4,0603 20PF/16V,
C82,0603,1,0.01uF,
C83,0603,1,2.2nF,
C9,0603,1,0603 0.1uF/1%,
D1,D_SOD-123,1,1N4148,
"ESD1, ESD2, ESD3, ESD4",D_SOD-323_HandSoldering,4,SD24C-TP,
"ETH1, ETH2",RJ45_HanRun_HR911105A,2,HR911105A,
F1,1206,1,1206 10V/2A,
"J1, J19",PinHeader_2x04_P2.54mm_Vertical,2,~,
"J10, J12, J3, J4, J5, J6, J7, J8, J9",PinHeader_2x10_P2.54mm_Vertical,9,PIN20,
J11,PinHeader_2x06_P2.54mm_Vertical,1,PIN12_2x6,
"J13, J29, J30, J31",PinHeader_2x03_P2.54mm_Vertical,4,PIN6_2x3,
"J14, J15, J16, J17, J18",PinHeader_1x04_P2.54mm_Vertical,5,~,
J2,PinHeader_1x02_P2.54mm_Vertical,1,PIN2,
"J20, J21, J22, J23",PinHeader_1x06_P2.54mm_Vertical,4,~,
"J24, J25, J26, J27, J28",PinHeader_1x03_P2.54mm_Vertical,5,~,
"KEY1, KEY2, KEY3, KEY4, KEY6, KEY7, KEY8, KEY9",SW_SPST_CK_RS282G05A3,8,SW_Push,
KEY5,5Axises_Key,1,5Axises_KEY,
L1,SWPA3010,1,2.2uH/1A,
"L2, L3, L4",0603,3,6.8nH/500mA,
"LED1, LED2",0603,2,YELLOW,
"LED10, LED11, LED12, LED3, LED4, LED5, LED6, LED7, LED8, LED9",0603,10,LD271,
"MARK1, MARK2, MARK3, MARK4",Fiducial_1mm_Mask2mm,4,Fiducial_1mm_Mask2mm,
POWER1,SelfLock_Switch,1,SW_SELF_LOCK_5.8mm-5.8mm-10mm,
Q1,SOT-23,1,S9013,
R1,0603,1,0603 5K/1%,
"R10, R11, R12, R13, R14, R15, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29",0603,19,0603 0R/1%,
"R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R132, R133, R93, R94, R95",0603,28,0R/1%,
"R123, R124, R125, R126, R127, R128, R129, R130, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R77, R78, R79, R80, R81, R90, R91, R92, R96, R97, R99",0603,29,10K/1%,
R131,0603,1,0603 100R/1%,
"R134, R135, R136, R137, R138, R2, R3",0603,7,0603 1K/1%,
"R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R16, R160, R161, R162, R164, R165, R166, R167, R168, R169, R170, R171, R172, R173, R174, R175, R176, R177, R178, R179, R180, R181, R183, R184, R185, R186, R187, R188, R189, R190, R191, R192, R193, R194, R195, R196, R197, R203, R204, R207, R208, R213, R214, R215, R216, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R227, R30, R33, R34, R35, R36, R37, R38, R39, R40, R42, R43, R44, R45, R60, R61, R62, R63, R64, R76",0603,94,0603 10K/1%,
"R158, R159, R163, R182, R198, R199",0603,6,0603 47K/1%,
R31,0603,1,0603 12K/1%,
R32,0603,1,0603 2K/1%,
"R4, R8",0603,2,0603 500K/1%,
R41,0603,1,0603 1M/1%,
"R46, R47, R53, R54",0603,4,510R/1%,
"R48, R49, R50, R51, R55, R56, R57, R58",0603,8,49R9/1%,
"R5, R7",0603,2,0603 160K/1%,
"R52, R59",0603,2,18K/1%,
R6,0603,1,0603 200K/1%,
R75,0603,1,4.7K/1%,
"R82, R83, R84, R85, R86, R87, R88, R89",0603,8,1K/1%,
R9,0603,1,0603 160K/16V,
R98,GT36516,1,A1050,
"RS1, RS2",1206,2,0603 10mR/1%,
SCREEN1,PinHeader_1x08_P2.54mm_Vertical,1,2.4In_TFT_Screen,
SD1,TF-SMD_TF-02,1,~,
SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,~,
"T1, T2, T3, T4",M3_Whole,4,~,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,30,TestPoint_1.5mm,
"U1, U2, U3",SOT-23-5_HandSoldering,3,SGM2036-ADJ,
U10,LQFP-64_10x10mm_P0.5mm,1,~,
U11,SOT-23-6_Handsoldering,1,93LC56BT-IOT,
U12,LQFP-144_20x20mm_P0.5mm,1,STM32F429ZETx,
"U13, U14",LQFP-64_10x10mm_P0.5mm,2,CH395Q,
U15,SOIC-8_3.9x4.9mm_P1.27mm,1,24LC64ISN,
U16,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.6mm,1,MPU6050,
U17,SOIC-8_5.275x5.275mm_P1.27mm,1,W25Q128JVSIQ,
"U4, U5",TSSOP-8_4.4x3mm_P0.65mm,2,INA240A1PWR,
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,TM7707,
U7,SOT-23,1,REF3030,
U8,SOT-23,1,REF3025,
U9,SOT-23,1,REF3012,
"USB1, USB2",USB_C_PIN16,2,USB_C_16PIN-Connector,
X1,Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering,1,2.4576Mhz,
X2,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm_HandSoldering,1,12Mhz_Passive_3225,
X3,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm_HandSoldering,1,16Mhz_Passive_3225,
"X4, X5",Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm_HandSoldering,2,30Mhz_3225,
