Designator,Mid X,Mid Y,Rotation,Layer
,200.9648,-46.6852,0.0,top
1V8_PWR,73.1012,-49.276,90.0,top
3V3_PWR,73.1012,-41.3512,90.0,top
5V_PWR1,61.4172,-32.9184,0.0,top
AKINA_JTAG1,116.9874,-58.2626,270.0,top
AKINA_RESET1,200.0,-149.5,90.0,top
BAT1,154.9644,-39.0652,180.0,top
BEEP1,61.3664,-151.6486,0.0,top
BOOT_MODE1,89.2556,-116.4336,270.0,top
BOOT_MODE2,175.3108,-129.8448,270.0,top
BTB100x1,175.0,-87.725,180.0,top
C1,55.372,-50.3936,180.0,top
C10,91.3892,-40.4876,90.0,top
C100,147.6756,-50.6476,180.0,top
C101,147.6756,-48.6156,180.0,top
C11,88.4936,-51.4604,270.0,top
C12,83.058,-42.164,90.0,top
C13,79.8576,-42.164,90.0,top
C14,82.0928,-51.4604,270.0,top
C15,122.555,-33.717,90.0,top
C16,119.5578,-33.717,90.0,top
C17,116.713,-33.7159,90.0,top
C18,104.5972,-42.3164,180.0,top
C19,104.5972,-44.1452,180.0,top
C2,55.372,-42.164,180.0,top
C20,107.8484,-46.9392,270.0,top
C21,110.1852,-46.9392,270.0,top
C22,99.7204,-41.402,270.0,top
C23,101.7016,-41.402,270.0,top
C24,107.8484,-50.546,90.0,top
C25,126.1364,-40.2844,0.0,top
C26,132.9944,-40.132,0.0,top
C27,140.3248,-40.1551,0.0,top
C28,58.8772,-70.104,0.0,top
C29,61.5188,-64.1096,270.0,top
C3,61.468,-41.5544,90.0,top
C30,61.5188,-60.452,90.0,top
C31,65.2272,-69.6976,270.0,top
C32,63.3984,-65.9384,90.0,top
C33,63.3984,-62.2808,90.0,top
C34,70.5115,-76.9112,0.0,top
C35,75.8952,-58.3692,180.0,top
C36,70.104,-64.9964,0.0,top
C37,67.564,-69.7208,90.0,top
C38,83.3628,-62.1284,0.0,top
C39,83.3628,-58.4708,0.0,top
C4,68.7832,-41.3523,270.0,top
C40,83.3628,-60.2996,0.0,top
C41,90.3732,-69.6976,270.0,top
C42,88.2904,-69.6976,270.0,top
C43,88.2904,-73.3044,270.0,top
C44,90.3732,-73.3044,270.0,top
C45,72.2884,-118.6688,90.0,top
C46,73.8886,-96.1898,180.0,top
C47,73.8886,-103.5558,0.0,top
C48,101.981,-84.8868,270.0,top
C49,74.803,-93.0656,90.0,top
C5,61.468,-49.5311,90.0,top
C50,86.4616,-107.3404,180.0,top
C51,79.9592,-107.3404,180.0,top
C52,91.3892,-107.2896,180.0,top
C53,101.9556,-97.9921,270.0,top
C54,102.0064,-92.6084,270.0,top
C55,93.3185,-78.9432,0.0,top
C56,86.5632,-80.8736,0.0,top
C57,72.9488,-106.4249,270.0,top
C58,101.6,-108.9152,180.0,top
C59,103.886,-84.8868,270.0,top
C6,68.6816,-49.3268,270.0,top
C60,72.898,-93.0656,90.0,top
C61,86.4605,-109.0676,180.0,top
C62,79.9592,-109.0676,180.0,top
C63,91.3892,-109.0676,180.0,top
C64,103.8352,-97.9932,270.0,top
C65,103.8352,-92.6084,270.0,top
C67,93.3185,-77.1144,0.0,top
C68,86.5632,-79.0448,0.0,top
C69,71.0692,-106.426,270.0,top
C7,66.7512,-34.2392,90.0,top
C70,101.6,-107.0356,180.0,top
C71,97.79,-108.9152,180.0,top
C72,102.0064,-88.646,90.0,top
C73,160.9852,-140.0934,90.0,top
C74,168.6052,-139.9918,90.0,top
C75,163.068,-122.9868,180.0,top
C76,89.5096,-140.8684,90.0,top
C77,97.028,-140.8684,90.0,top
C78,90.424,-123.4948,180.0,top
C79,196.4436,-152.5543,270.0,top
C8,83.2612,-33.782,90.0,top
C80,195.326,-118.491,180.0,top
C81,195.326,-120.269,180.0,top
C82,193.29,-137.2678,0.0,top
